Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
7/24/19,HMAJCRJB2A,7/23/19,11,N,563.2
7/24/19,HMAJCRJB2A,7/23/19,11,N,2252.8
7/24/19,HMAJCRJB2A,7/23/19,11,N,116.4
7/24/19,HMAJCRJB2A,7/23/19,11,N,465.6
7/23/19,HMACZKQPCB,7/22/19,11,L,980
7/23/19,HMACZKQPCB,7/22/19,11,L,3920
7/22/19,HMANBPFK5C,7/21/19,33,P,3063.53
7/22/19,HMANBPFK5C,7/21/19,33,P,765.89
7/21/19,HMAJ9CKSX2,7/20/19,7,F,1283.1
7/21/19,HMAJ9CKSX2,7/20/19,7,F,361.9
7/19/19,HMAK5PRNR2,7/18/19,5,N,404
7/19/19,HMAK5PRNR2,7/18/19,5,N,1616
7/18/19,HMAPZD4TAA,7/17/19,4,P,516
7/18/19,HMAPZD4TAA,7/17/19,4,P,129
7/18/19,HMAB9DJN99,7/17/19,1,N,62
7/18/19,HMAB9DJN99,7/17/19,1,N,248
7/18/19,HMAPZD4TAA,7/17/19,4,P,140
7/18/19,HMAPZD4TAA,7/17/19,4,P,35
7/14/19,HMANYWJDR3,7/13/19,6,F,1236.3
7/14/19,HMANYWJDR3,7/13/19,6,F,348.7
7/14/19,HMACN9EWWZ,7/13/19,15,G,1410
7/14/19,HMACN9EWWZ,7/13/19,15,G,5640
7/14/19,HMANYWJDR3,7/13/19,6,F,195
7/14/19,HMANYWJDR3,7/13/19,6,F,55
7/10/19,HMAEZ829RH,7/8/19,,L,
7/10/19,HMAK3BMA9H,7/9/19,4,N,419
7/10/19,HMAK3BMA9H,7/9/19,4,N,1676
7/9/19,HMAEZ829RH,7/8/19,3,L,446.8
7/9/19,HMAEZ829RH,7/8/19,3,L,1787.2
7/3/19,HMAMBTTNDP,7/2/19,1,N,20
7/2/19,HMAH9HE9DT,7/1/19,6,L,630.6
7/2/19,HMAH9HE9DT,7/1/19,6,L,2522.4
6/29/19,HMAJM5HP2X,6/28/19,13,G,1773.8
6/29/19,HMAJM5HP2X,6/28/19,13,G,7095.2
6/28/19,HMAN2SNDS2,6/27/19,8,F,1485.12
6/28/19,HMAN2SNDS2,6/27/19,8,F,418.88
6/28/19,HMAN2SNDS2,6/27/19,8,F,219.18
